Study Day,Date,Month,Day,Day of Week,Treatment Variable,Treatment Day,Treatment Plan,Actual Treatment,Treatment Time,Drying Method,High Temperature,Low Temperature,Humidity - Morning,Wind Speed,Rain,Morning Picture Time,Pre-Morning Time Spent Outdoors (Hours),Pre-Morning: Potential Quality Disruptions,Midday Picture Time,Pre-Midday Time Spent Outdoors (Hours),Pre-Midday: Potential Quality Disruptions,Evening Picture Time,Pre-Evening Time Spent Outdoors (Hours),Pre-Eveing: Potential Quality Disruptions,Additional Treatment Time,Additional Drying Method,Reason for Additional Treatment,Additional Notes
1,2/11/2023,2,11,SATURDAY,Baseline (Aussie),1,TREAT,TREAT,8:30,TOWEL,58,33,0.43,11,NONE,9:30,0,NA,12:07,0,NA,20:18,0,HAT,NA,NA,NA,NA
2,2/12/2023,2,12,SUNDAY,Baseline (Aussie),2,TREAT,TREAT,7:50,BLOW,66,32,0.44,3,NONE,9:08,0,NA,14:32,0,NA,23:41,0.25,HEADPHONES,NA,NA,NA,NA
3,2/13/2023,2,13,MONDAY,Baseline (Aussie),3,TREAT,TREAT,8:20,TOWEL,71,44,0.66,11,SPRINKLES,9:50,0,NA,13:18,0,HEADPHONES,22:11,1,"SPRINKLES, HEADPHONES, HOOD",NA,NA,NA,NA
4,2/14/2023,2,14,TUESDAY,Baseline (Aussie),4,NOTHING,NOTHING,8:50,NA,77,56,0.87,12,NONE,9:37,0,"SLEEP, HAIRTIE, HEADPHONES",13:19,0,HEADPHONES,22:53,0.75,"EXERCISE, HEADPHONES",NA,NA,NA,SPIELMAN
5,2/15/2023,2,15,WEDNESDAY,Baseline (Aussie),5,TREAT,TREAT,7:45,TOWEL,78,47,0.93,6,NONE,10:10,0,HEADPHONES,14:08,0,NA,22:15,1.25,"BIKE, HEADPHONES",NA,NA,NA,NA
6,2/16/2023,2,16,THURSDAY,Baseline (Aussie),6,NOTHING,NOTHING,7:05,NA,71,40,0.52,16,NONE,8:17,0,"SLEEP, HAIRTIE",12:49,0,NA,22:35,0.25,"SLEEP, HAIRTIE, VR, HEADPHONES",NA,NA,NA,NA
7,2/17/2023,2,17,FRIDAY,Baseline (Aussie),7,TREAT,TREAT,7:35,TOWEL,54,33,0.51,14,NONE,9:30,0,HEADPHONES,13:05,0,HEADPHONES,23:34,0.25,"VR, HEADPHONES",NA,NA,NA,NA
8,2/18/2023,2,18,SATURDAY,Baseline (Aussie),8,NOTHING,NOTHING,8:04,TOWEL,57,28,0.62,1,NONE,9:59,0,"SLEEP, HAIRTIE, HEADPHONES",16:09,0,HEADPHONES,23:27,0,HEADPHONES,NA,NA,NA,NA
9,2/19/2023,2,19,SUNDAY,Baseline (Aussie),9,TREAT,TREAT,7:40,BLOW,76,44,0.86,7,NONE,8:48,0,NA,15:21,0,NA,22:07,0.25,HEADPHONES,NA,NA,NA,NA
10,2/20/2023,2,20,MONDAY,Baseline (Aussie),10,NOTHING,NOTHING,7:40,NA,80,58,0.81,10,NONE,9:12,0,"SLEEP, HAIRTIE, HEADPHONES",13:04,1.5,NA,22:57,0.5,HEADPHONES,NA,NA,NA,NA
